artist,song
miley cyrus,flowers
sza,kill bill
morgan wallen,last night
sam smith & kim petras,unholy
"metro boomin, the weeknd & 21 savage",creepin'
beyonce,cuff it
taylor swift,anti-hero
the weeknd,die for you
david guetta & bebe rexha,i'm good (blue)
harry styles,as it was
drake & 21 savage,rich flex
lil uzi vert,just wanna rock
morgan wallen,thought you should know
pinkpantheress & ice spice,"boy's a liar, pt. 2"
meghan trainor,made you look
chris brown,under the influence
jvke,golden hour
morgan wallen,you proof
bailey zimmerman,rock and a hard place
zach bryan,something in the orange
kane brown with katelyn brown,thank god
steve lacy,bad habit
luke combs,"going, going, gone"
raye featuring 070 shake,escapism
"metro boomin, future & chris brown",superhero (heroes & villains)
taylor swift,lavender haze
rema & selena gomez,calm down
coi leray,players
sza,shirt
miguel,sure thing
luke combs,the kind of love we make
lainey wilson,heart like a truck
bizarrap & shakira,"bzrp music sessions, vol. 53"
sza,snooze
stephen sanchez,until i found you
future featuring drake & tems,wait for u
post malone featuring doja cat,i like you (a happier song)
morgan wallen,i wrote the book
fuerza regida x grupo frontera,bebe dame
glorilla & cardi b,tomorrow 2
lizzo,about damn time
hardy featuring lainey wilson,wait in the truck
cole swindell,she had me at heads carolina
sza,nobody gets me
jordan davis,what my world spins around
sia,unstoppable
morgan wallen,one thing at a time
nate smith,whiskey on you
zach bryan featuring maggie rogers,dawns
the kid laroi,love again
morgan wallen,everything i love
rihanna,lift me up
carin leon x grupo frontera,que vuelvas
sza,low
megan moroney,tennessee orange
karol g x romeo santos,x si volvemos
lady gaga,bloody mary
parker mccollum,handle on you
carly pearce,what he didn't do
lil baby,freestyle
corey kent,wild as her
drake & 21 savage,spin bout u
brett young,you didn't
luke combs,growin' up and gettin' old
sabrina carpenter,nonsense
d4vd,here with me
tory lanez,the color violet
"gabito ballesteros, peso pluma & natanael cano",amg
tiesto featuring tate mcrae,10:35
manuel turizo,la bachata
lewis capaldi,forget me
hotel ugly,shut up my moms calling
sza,blind
newjeans,omg
grupo frontera,no se va
future,love you better
arcangel & bad bunny,la jumpa
peso pluma x natanael cano,prc
jason aldean,that's what tequila does
sza,love language
morgan wallen,tennessee fan
newjeans,ditto
falling in reverse,watch the world burn
cody johnson,human
ice spice,in ha mood
finesse2tymes,back end
nle choppa & 2rare,do it again
ozuna featuring feid,hey mor
metro boomin featuring don toliver & future,too many nights
sza featuring phoebe bridgers,ghost in the machine
junior h x oscar maydon,fin de semana
rosa linn,snap
lil baby,california breeze
sam smith,i'm not here to make friends
nengo flow & bad bunny,gato de noche
yandel & feid,yandel 150
mac demarco,heart to heart
jordan davis,next thing you know
p!nk,never gonna not dance again
sza featuring travis scott,open arms
