danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.423,0.685,-9.651,0.078,6.28e-05,0.00642,0.133,0.328,162.78,3q9G9SvgdfE1fxlvoDIb20,167720
0.324,0.991,-4.465,0.197,0.00247,0.00895,0.104,0.195,140.245,47FyQCd3TYLrZ9TU6MPaWK,166707
0.308,0.866,-5.671,0.059,0.000739,0.00141,0.232,0.227,109.825,6p8eFfPw3nQkf37aT3AkmK,438120
0.453,0.905,-4.001,0.115,0.36,0.000569,0.26,0.474,137.571,2b9lp5A6CqSzwOrBfAFhof,296200
0.42,0.93,-5.583,0.0638,0.0189,0.00675,0.264,0.344,99.641,1s4Ie0cT6P73SRSfh3oyGW,291373
0.227,0.995,-4.361,0.173,0.000405,0.393,0.127,0.0363,87.499,4fiOTntQKr24p07FvQDHZE,255187
0.304,0.909,-5.162,0.0362,0.00185,0.122,0.362,0.348,103.99,1iGXvUsVVkYBas0Cniw6NB,432800
0.334,0.829,-9.17,0.0995,0.00327,0.00393,0.095,0.502,157.565,1Rhr64SXn8s4LjnpPAUHon,354213
0.538,0.872,-7.658,0.0361,0.000608,0.573,0.0946,0.593,105.102,6NwbeybX6TDtXlpXvnUOZC,516293
0.5,0.832,-4.229,0.0513,0.0191,0.000216,0.0829,0.593,145.091,4m1slXE2kaXbXVfZQ0q3Om,94655
0.333,0.445,-16.343,0.0283,0.00858,0.0451,0.167,0.35,89.371,6LtNEH08J18r4HLs4HzvqW,417840
0.435,0.987,-4.667,0.16,0.000195,0.0847,0.268,0.101,103.16,0L7zm6afBEtrNKo6C6Gj08,365827
0.444,0.703,-9.443,0.0641,0.00112,0.0761,0.127,0.419,106.228,64Ret7Tf2M8pDE4aqbW2tX,447440
0.298,0.885,-7.679,0.0551,0.0323,0.00711,0.288,0.57,173.304,1sBxsfQCNIYQ77tUU073sZ,368493
0.311,0.437,-13.77,0.0408,0.196,0.339,0.241,0.0886,132.389,1PL2GSxmZluXBWVsfgdw79,377160
0.339,0.888,-12.179,0.0698,0.00293,0.318,0.296,0.319,125.086,0bM9c5A7CterSOEssmWqAa,396133
0.284,0.329,-13.403,0.0323,0.0191,0.35,0.103,0.213,74.563,2B3LrkMAmRVFj6RORrDLHi,473560
0.431,0.947,-6.011,0.0752,0.000779,0.000253,0.356,0.365,96.539,3kubJ2b1Rad7NXZtnZAZmO,218867
0.558,0.964,-6.705,0.0722,5.58e-05,0.261,0.292,0.533,129.88,17ANoGm9885srOfzisXHmo,200300
0.443,0.955,-8.066,0.0741,0.0222,0.361,0.297,0.333,123.423,0oWHLtxWeMJhmwxtrxhNK0,273600
0.375,0.951,-9.113,0.113,0.000754,0.259,0.103,0.198,100.631,3LM41UarpHPJkUZ7rVbbGx,395133
0.258,0.907,-7.287,0.112,0.0183,0.201,0.11,0.317,113.679,12oSzrBIyirNs0aCwk6elL,417400
0.286,0.856,-6.777,0.0585,0.0238,0.0542,0.487,0.696,162.12,2pxAohyJptQWTQ5ZRWYijN,250973
0.544,0.739,-7.383,0.0517,0.00392,0.000143,0.168,0.328,118.287,2dbOYFfS7r7NAzquRvji9A,342600
0.564,0.805,-5.977,0.0426,0.0598,0.25,0.0631,0.837,114.249,7dQ7jYmdsCRWXyjjgwaLy7,378107
